Pot,Treatment,Crop,08Sep2022,18Sep2022,28Sep2022,08Oct2022
1,Same,Chard,"12,5","13,8","14,5","15,5"
2,Same,Chard,11,"12,3","12,5",14
3,Same,Chard,13,"13,5","13,3",13
4,Pre,Chard,15,"15,3",15,"15,4"
5,Pre,Chard,14,"14,3","14,5",16
6,Pre,Chard,15,15,"15,3","15,5"
7,Mono,Chard,18,"17,3",17,"16,5"
8,Mono,Chard,16,"16,2","16,5","16,7"
9,Mono,Chard,16,14,14,15
10,Same,Clover,15,13,13,13
11,Same,Clover,12,12,13,13
12,Same,Clover,12,11,"10,7","10,5"
13,Pre,Clover,10,11,11,11
14,Pre,Clover,11,12,12,12
15,Pre,Clover,11,13,12,12
16,Mono,Clover,13,13,13,13
17,Mono,Clover,"12,5",13,12,12
18,Mono,Clover,12,13,11,11
19,Mono,Clover,21,11,10,20
20,Mono,Clover,21,22,21,NULL
